2025-06-05 01:55:27,814 - Script started.
2025-06-05 01:55:27,871 - Using device: cuda
2025-06-05 01:55:27,895 - Loaded training dataset with 1356 samples.
2025-06-05 01:55:27,895 - Loaded validation dataset with 290 samples.
2025-06-05 01:55:32,585 - Encoder initialized.
2025-06-05 01:55:32,586 - Encoder has 303,362,048 parameters.
2025-06-05 01:55:38,918 - Loaded checkpoint from /data/Prithvi_EO_V2_300M.pt.
2025-06-05 01:55:38,923 - Classifier initialized.
2025-06-05 01:55:38,923 - Classifier has 525,826 parameters.
2025-06-05 01:55:38,924 - Training started.
2025-06-05 01:55:38,924 - Training Parameters - Batch Size: 64, Epochs: 300, Encoder embed_dim: 1024, Classifier input_dim: 1024
2025-06-05 02:12:04,496 - Epoch 29: Training Loss: 0.406096, Validation Loss: 0.452130, Training Accuracy: 78.54, Validation Accuracy: 79.31, Learning Rate: 0.000048336667, Time: 31.61s
2025-06-05 02:12:37,631 - Epoch 30: Training Loss: 0.399111, Validation Loss: 0.447090, Training Accuracy: 78.91, Validation Accuracy: 78.97, Learning Rate: 0.000050000000, Time: 33.14s
2025-06-05 02:13:10,455 - Epoch 31: Training Loss: 0.396763, Validation Loss: 0.468602, Training Accuracy: 78.98, Validation Accuracy: 74.14, Learning Rate: 0.000049998308, Time: 32.82s
2025-06-05 02:13:44,009 - Epoch 32: Training Loss: 0.395318, Validation Loss: 0.458599, Training Accuracy: 79.20, Validation Accuracy: 75.52, Learning Rate: 0.000049993231, Time: 33.55s
2025-06-05 02:14:18,557 - Epoch 33: Training Loss: 0.392569, Validation Loss: 0.450903, Training Accuracy: 78.10, Validation Accuracy: 75.17, Learning Rate: 0.000049984771, Time: 34.55s
2025-06-05 02:14:53,726 - Epoch 34: Training Loss: 0.388239, Validation Loss: 0.450139, Training Accuracy: 78.47, Validation Accuracy: 77.24, Learning Rate: 0.000049972928, Time: 35.17s
2025-06-05 02:15:27,135 - Epoch 35: Training Loss: 0.386729, Validation Loss: 0.442805, Training Accuracy: 78.61, Validation Accuracy: 75.17, Learning Rate: 0.000049957704, Time: 33.41s
2025-06-05 02:15:59,801 - Epoch 36: Training Loss: 0.384588, Validation Loss: 0.438515, Training Accuracy: 79.13, Validation Accuracy: 78.28, Learning Rate: 0.000049939101, Time: 32.67s
2025-06-05 02:16:32,810 - Epoch 37: Training Loss: 0.383422, Validation Loss: 0.446339, Training Accuracy: 79.13, Validation Accuracy: 75.17, Learning Rate: 0.000049917122, Time: 33.01s
2025-06-05 02:17:05,389 - Epoch 38: Training Loss: 0.379548, Validation Loss: 0.439841, Training Accuracy: 79.28, Validation Accuracy: 75.86, Learning Rate: 0.000049891770, Time: 32.58s
2025-06-05 02:17:38,588 - Epoch 39: Training Loss: 0.377751, Validation Loss: 0.443456, Training Accuracy: 80.01, Validation Accuracy: 76.21, Learning Rate: 0.000049863047, Time: 33.20s
2025-06-05 02:18:13,442 - Epoch 40: Training Loss: 0.376236, Validation Loss: 0.456748, Training Accuracy: 78.32, Validation Accuracy: 76.55, Learning Rate: 0.000049830959, Time: 34.85s
2025-06-05 02:18:51,524 - Epoch 41: Training Loss: 0.376300, Validation Loss: 0.447703, Training Accuracy: 80.46, Validation Accuracy: 76.21, Learning Rate: 0.000049795509, Time: 38.08s
2025-06-05 02:19:27,282 - Epoch 42: Training Loss: 0.382081, Validation Loss: 0.448405, Training Accuracy: 78.61, Validation Accuracy: 77.24, Learning Rate: 0.000049756702, Time: 35.76s
2025-06-05 02:20:03,527 - Epoch 43: Training Loss: 0.371281, Validation Loss: 0.424474, Training Accuracy: 80.09, Validation Accuracy: 78.62, Learning Rate: 0.000049714543, Time: 36.24s
2025-06-05 02:20:41,335 - Epoch 44: Training Loss: 0.373798, Validation Loss: 0.429314, Training Accuracy: 80.90, Validation Accuracy: 76.21, Learning Rate: 0.000049669038, Time: 37.81s
2025-06-05 02:21:18,312 - Epoch 45: Training Loss: 0.370165, Validation Loss: 0.433574, Training Accuracy: 79.79, Validation Accuracy: 76.55, Learning Rate: 0.000049620194, Time: 36.98s
2025-06-05 02:21:54,759 - Epoch 46: Training Loss: 0.372184, Validation Loss: 0.446644, Training Accuracy: 80.01, Validation Accuracy: 76.90, Learning Rate: 0.000049568016, Time: 36.45s
2025-06-05 02:22:32,138 - Epoch 47: Training Loss: 0.366865, Validation Loss: 0.427439, Training Accuracy: 81.19, Validation Accuracy: 77.59, Learning Rate: 0.000049512512, Time: 37.38s
2025-06-05 02:23:08,502 - Epoch 48: Training Loss: 0.366972, Validation Loss: 0.426984, Training Accuracy: 79.72, Validation Accuracy: 78.62, Learning Rate: 0.000049453690, Time: 36.36s
2025-06-05 02:23:45,543 - Epoch 49: Training Loss: 0.363285, Validation Loss: 0.410584, Training Accuracy: 80.24, Validation Accuracy: 81.72, Learning Rate: 0.000049391557, Time: 37.04s
2025-06-05 02:24:20,101 - Epoch 50: Training Loss: 0.366301, Validation Loss: 0.412665, Training Accuracy: 80.09, Validation Accuracy: 79.31, Learning Rate: 0.000049326122, Time: 34.56s
2025-06-05 02:24:57,786 - Epoch 51: Training Loss: 0.370116, Validation Loss: 0.415767, Training Accuracy: 80.53, Validation Accuracy: 77.59, Learning Rate: 0.000049257393, Time: 37.68s
2025-06-05 02:25:35,726 - Epoch 52: Training Loss: 0.362733, Validation Loss: 0.440064, Training Accuracy: 81.64, Validation Accuracy: 78.28, Learning Rate: 0.000049185380, Time: 37.94s
2025-06-05 02:26:11,654 - Epoch 53: Training Loss: 0.362298, Validation Loss: 0.423453, Training Accuracy: 81.19, Validation Accuracy: 79.66, Learning Rate: 0.000049110094, Time: 35.93s
2025-06-05 02:26:49,046 - Epoch 54: Training Loss: 0.359102, Validation Loss: 0.415773, Training Accuracy: 80.16, Validation Accuracy: 78.97, Learning Rate: 0.000049031542, Time: 37.39s
2025-06-05 02:27:28,045 - Epoch 55: Training Loss: 0.358090, Validation Loss: 0.419561, Training Accuracy: 81.64, Validation Accuracy: 79.66, Learning Rate: 0.000048949738, Time: 39.00s
